date;wind_speed_mean_ms;internal_wind_speed_ms;solar_radiation_mj_m2;daily_wind_kwh;daily_solar_kwh;total_daily_kwh
2023-12-16 00:00:00+00:00;4,47;6,94;2,57;42,37;9,75;52,12
2023-12-17 00:00:00+00:00;4,79;7,42;1,28;51,89;4,86;56,75
2023-12-18 00:00:00+00:00;5,72;8,87;0,41;88,55;1,56;90,11
2023-12-19 00:00:00+00:00;5,82;9,02;1,01;93,35;3,83;97,18
2023-12-20 00:00:00+00:00;8,08;12,53;0,85;144,0;3,23;147,23
2023-12-21 00:00:00+00:00;7,36;11,41;1,11;144,0;4,21;148,21
2023-12-22 00:00:00+00:00;6,94;10,75;0,89;144,0;3,38;147,38
2023-12-23 00:00:00+00:00;7,25;11,23;0,51;144,0;1,94;145,94
2023-12-24 00:00:00+00:00;6,23;9,66;0,54;114,54;2,05;116,59
2023-12-25 00:00:00+00:00;5,57;8,63;3,21;81,55;12,18;93,73
2023-12-26 00:00:00+00:00;4,37;6,77;1,05;39,38;3,98;43,37
2023-12-27 00:00:00+00:00;7,38;11,44;2,91;144,0;11,04;155,04
2023-12-28 00:00:00+00:00;7,76;12,03;1,48;144,0;5,62;149,62
2023-12-29 00:00:00+00:00;5,49;8,5;3,01;78,07;11,42;89,49
2023-12-30 00:00:00+00:00;7,1;11,01;2,37;144,0;8,99;152,99
