now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
383.24,c294,leave,[],[c292],[],Free,Free,"(c295, End=386.1)",,c294,
384.42,c296,Arrive (Q_A),[c296],[c292],[],Free,Free,"(c295, End=386.1)",,,
384.42,c296,start_desk_A,[],[c292],[],"(c296, End=390.9)",Free,"(c295, End=386.1)",0.00,,
384.72,c297,Arrive (Q_A),[c297],[c292],[],"(c296, End=390.9)",Free,"(c295, End=386.1)",,,
385.00,c292,start_desk_B,[c297],[],[],"(c296, End=390.9)","(c292, End=389.4)","(c295, End=386.1)",8.16,,
385.00,c291,leave,[c297],[],[],"(c296, End=390.9)",Free,"(c295, End=386.1)",,c291,
385.85,c298,Arrive (Q_B),[c297],[c298],[],"(c296, End=390.9)",Free,"(c295, End=386.1)",,,
386.04,c299,Arrive (Q_B),[c297],"[c298, c299]",[],"(c296, End=390.9)",Free,"(c295, End=386.1)",,,
386.07,c295,leave,[c297],"[c298, c299]",[],"(c296, End=390.9)",Free,Free,,c295,
387.57,c300,Arrive (Q_A),"[c297, c300]","[c298, c299]",[],"(c296, End=390.9)",Free,Free,,,
388.33,c301,Arrive (Q_B),"[c297, c300]","[c298, c299, c301]",[],"(c296, End=390.9)",Free,Free,,,
389.41,c298,start_desk_B,"[c297, c300]","[c299, c301]",[],"(c296, End=390.9)","(c298, End=395.1)",Free,3.55,,
389.41,c292,leave,"[c297, c300]","[c299, c301]",[],"(c296, End=390.9)",Free,Free,,c292,
389.72,c297,Resign (Dynamic Q_A),[c300],"[c299, c301]",[],"(c296, End=390.9)",Free,Free,,,c297
390.68,c302,Arrive (Q_A),"[c300, c302]","[c299, c301]",[],"(c296, End=390.9)",Free,Free,,,
390.94,c300,start_desk_A,[c302],"[c299, c301]",[],"(c300, End=393.7)",Free,Free,3.38,,
390.94,c296,leave,[c302],"[c299, c301]",[],Free,Free,Free,,c296,
391.99,c303,Arrive (Q_C),[c302],"[c299, c301]",[c303],Free,Free,Free,,,
391.99,c303,start_desk_C,[c302],"[c299, c301]",[],Free,Free,"(c303, End=393.1)",0.00,,
393.09,c303,leave,[c302],"[c299, c301]",[],Free,Free,Free,,c303,
393.60,c304,Arrive (Q_C),[c302],"[c299, c301]",[c304],Free,Free,Free,,,
393.60,c304,start_desk_C,[c302],"[c299, c301]",[],Free,Free,"(c304, End=396.8)",0.00,,
393.68,c302,start_desk_A,[],"[c299, c301]",[],"(c302, End=398.2)",Free,"(c304, End=396.8)",3.00,,
393.68,c300,leave,[],"[c299, c301]",[],Free,Free,"(c304, End=396.8)",,c300,
395.06,c299,start_desk_B,[],[c301],[],Free,"(c299, End=399.3)","(c304, End=396.8)",9.02,,
395.06,c298,leave,[],[c301],[],Free,Free,"(c304, End=396.8)",,c298,
395.52,c305,Arrive (Q_A),[c305],[c301],[],Free,Free,"(c304, End=396.8)",,,
396.77,c304,leave,[c305],[c301],[],Free,Free,Free,,c304,
397.95,c306,Arrive (Q_A),"[c305, c306]",[c301],[],Free,Free,Free,,,
398.19,c305,start_desk_A,[c306],[c301],[],"(c305, End=406.9)",Free,Free,2.67,,
