now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
473.08,c346,Arrive (Q_B),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c346]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]",Free,Free,"(c345, End=473.4)",,,
473.08,c346,start_desk_B,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]",Free,"(c346, End=477.6)","(c345, End=473.4)",0.00,,
473.44,c345,leave,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]",Free,"(c346, End=477.6)",Free,,c345,
475.14,c347,Arrive (Q_B),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c347]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]",Free,"(c346, End=477.6)",Free,,,
475.88,c348,Arrive (Q_A),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c348]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c347]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]",Free,"(c346, End=477.6)",Free,,,
475.88,c348,start_desk_A,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c347]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)","(c346, End=477.6)",Free,0.00,,
476.11,c349,Arrive (Q_A),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c347]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)","(c346, End=477.6)",Free,,,
476.25,c350,Arrive (Q_B),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c347, c350]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)","(c346, End=477.6)",Free,,,
477.61,c347,start_desk_B,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c350]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)","(c347, End=480.5)",Free,2.47,,
477.61,c346,leave,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c350]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)",Free,Free,,c346,
478.11,c351,Arrive (Q_C),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c350]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307, c351]","(c348, End=485.6)",Free,Free,,,
478.11,c351,start_desk_C,"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c350]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)",Free,"(c351, End=480.5)",0.00,,
479.44,c352,Arrive (Q_B),"[c47, c71, c90, c156, c176, c237, c257, c286, c330, c332, c349]","[c42, c44, c65, c153, c172, c174, c178, c254, c282, c289, c328, c350, c352]","[c48, c69, c98, c171, c177, c186, c199, c291, c293, c307]","(c348, End=485.6)",Free,"(c351, End=480.5)",,,
